Particular,Product Code,Definition,Category (clean),Sub-Category (clean)
CABLE TIE 762MM BLACK,,Cable Tie,Electrical,Factory Utilities
"CANE (RATTAN) JALI 600"""" X 24""""",UNM/SKU/24-25/1946,Cane,Raw Material,Product Utilities
RATTAN CANE WIRE  4.5 MM,UNMPL/SKU/25-26/756,Cane,Raw Material,Product Utilities
DISPOSABLE  NON WOVEN BUFF CAP,UNM/SKU/24-25/1517,Cap,Consumables,Factory Utilities
UBC-02-BASE CAP SILVER,UNMPL/SKU/25-26/2231,Cap,Component,Product Utilities
BOSS CARBON,UNM/SKU/24-25/1846,Carbon ,Consumables,Factory Utilities
CARBON BRUSH-2,UNMPL/SKU/25-26/905,Carbon ,Consumables,Factory Utilities
MAKITA CARBON 325,UNMPL/SKU/25-26/455,Carbon ,Consumables,Factory Utilities
BOSS CARBON 5 INCH,UNM/SKU/24-25/1537,Carbon ,Spares,Factory Utilities
Gatta Sheet 3mm - SHADE 32,UNM/SKU/24-25/1065,Cardboard Sheet ,Consumables,Product Utilities
TONNER CARTRIDGE 337,UNMPL/SKU/25-26/1845,Cartridge,IT,IT Utilities
Metal Frame CENTER TABLE,UNMPL/SKU/25-26/1580,Centre Table,Component,Product Utilities
CHAIN (SANJAY TEKTEAM),UNMPL/SKU/25-26/2125,Chain,Spares,Product Utilities
ALISON CHAIR,UNMPL/SKU/25-26/1665,Chair,Finished Goods,Product Utilities
RONSEN LOUNGE CHAIR,,Chair,Component,Product Utilities
TS-373545-DALSTON-20250722 DALSTON DINING CHAIR ( LEATHER BACK),UNMPL/SKU/25-26/1532,Chair,Finished Goods,Product Utilities
WENDELL - 199163 CHS BAR WENDELL CUIR CAMEL,UNMPL/SKU/25-26/1537,Chair,Finished Goods,Product Utilities
DUNI DINING CHAIR,UNMPL/SKU/25-26/1978,Chair,Finished Goods,Product Utilities
Ani Dining Chair,UNMPL/SKU/25-26/1979,Chair,Finished Goods,Product Utilities
Dupa Dining Chair,UNMPL/SKU/25-26/1981,Chair,Finished Goods,Product Utilities
Aart Task Chair,UNMPL/SKU/25-26/1985,Chair,Finished Goods,Product Utilities
SCALLOPED DINING CHAIR,UNMPL/SKU/25-26/784,Chair,Finished Goods,Product Utilities
CHAIN SQF (CHAKAL),UNMPL/SKU/25-26/2072,Chakal,Consumables,Factory Utilities
Channel (Drawer) Push To Open INDAUX CHANNEL 12 '',UNMPL/SKU/25-26/980,Channel (Drawer),Hardware,Product Utilities
Channel (Drawer) HETTICH PUSH 2 OPEN CHANNEL ZINC 12'',UNMPL/SKU/25-26/1686,Channel (Drawer),Hardware,Product Utilities
CDSS235-PO (CONCEALED D/SLIDES SLIM 2 PUSH  OPEN (WITH FACIA BRACKET) 350MM,UNM/SKU/24-25/1543,Channel (Drawer),Hardware,Product Utilities
Channel (Drawer) EBCO CDSS2-30-SC( CONCEALED DRWER SLIDE SIIM 2) SOFT CLOSE,UNMPL/SKU/25-26/435,Channel (Drawer),Hardware,Product Utilities
Channel (Drawer) Push To Open CDSS230-PO (CONCEALED D/ SILDE- SLIM 2 PUSH OPEN),UNMPL/SKU/25-26/380,Channel (Drawer),Hardware,Product Utilities
Channel (Drawer) SOFT CLOSE Zinc EBCO STDS35-35-SC-2W KG = 350MM ZW,UNMPL/SKU/25-26/8,Channel (Drawer),Hardware,Product Utilities
Channel (Drawer) STDS 25(I) 35 ZW 250 MM ZW,UNMPL/SKU/25-26/354,Channel (Drawer),Hardware,Product Utilities
Channel (Drawer) Push To Open 422.02.061 PUSH TO OPEN TELE ZINK,UNMPL/SKU/25-26/317,Channel (Drawer),Hardware,Product Utilities
Channel (Drawer) SOFT CLOSE Zinc Hafele 12 inch - 432.02.191,UNM/SKU/24-25/1981,Channel (Drawer),Hardware,Product Utilities
Hafele hydraulic cannel 14'',UNM/SKU/24-25/139,Channel (Drawer),Hardware,Product Utilities
Channel (Drawer) Push To Open AZALEA AZ QUADRO CHANNEL300MM,UNMPL/SKU/25-26/981,Channel (Drawer) ,Hardware,Product Utilities
Channel (Drawer) Push To Open Hettich AZ QUADRAO CHANNEL300MM,,Channel (Drawer) ,Hardware,Product Utilities
Channel (Drawer) Push To Open Hettich AZ QUADRO CHANNEL300MM,,Channel (Drawer) ,Hardware,Product Utilities
Channel (Drawer) Push To Open Zinc EBCO - 14'',,Channel (Drawer) ,Hardware,Product Utilities
Channel (Drawer) SOFT CLOSE Zinc EBCO 45KG = 350MM ZW,,Channel (Drawer) ,Hardware,Product Utilities
Channel (Drawer) 12 INCH SOFT CLOSE 432.02.191,,Channel (Drawer) ,Hardware,Product Utilities
Channel (Drawer) Push To Open Zinc EBCO STDS35 I-35-PO-ZW 14'',UNM/SKU/24-25/633,Channel (Drawer) ,Hardware,Product Utilities
Channel (Drawer) 433.09.532 UM RUNNER SC F 14'' 35 KG,UNMPL/SKU/25-26/1689,Channel (Drawer) ,Hardware,Product Utilities
Channel (Drawer) 433.31.102 UM 25 P RUNNER 25 KG 350 MM,,Channel (Drawer) ,Hardware,Product Utilities
Channel (Drawer) Quadra Zinc Hafele 433.31.102 UM 25 P RUNNER 25 KG 350 MM,UNMPL/SKU/25-26/565,Channel (Drawer) ,Hardware,Product Utilities
Channel (Drawer) QUDRA 12'' PTO,UNMPL/SKU/25-26/1685,Channel (Drawer) ,Hardware,Product Utilities
BOSCH DRILL CHARGER 12V -,UNMPL/SKU/25-26/1347,CHARGER 12V -,Electrical,IT Utilities
LOBA  HYDROCHORIC ACID 37% EO 500ML,,Chemical,Consumables,Factory Utilities
ETHANOL @5% FOR LAB USE ONLY,UNMPL/SKU/25-26/1449,Chemical,Consumables,Product Utilities
Hardener AcrylicSV4310.,UNMPL/SKU/25-26/2210,Chemical,Consumables,Product Utilities
HYDROCLORIC ACID 5 LTR,,Chemical,Consumables,Office Supplies
CHISEL(CHORSI) TAPARIYA 19MM,UNMPL/SKU/25-26/1135,Chisel,Tool,Factory Utilities
CHORSI 12MM,UNM/SKU/24-25/1425,Chisel,Tool,Factory Utilities
CHUCK NUT 45MM,UNMPL/SKU/25-26/379,Chuck Nut ,Hardware,Product Utilities
CHUCK NUT Bolt 35MM,UNMPL/SKU/25-26/2166,Chuck Nut ,Hardware,Product Utilities
CHUCK NUT Bolt 45 MM,UNMPL/SKU/25-26/2167,Chuck Nut ,Hardware,Product Utilities
CHUCK NUT 35MM,UNM/SKU/24-25/1394,Chuck Nut ,Hardware,Product Utilities
HOSE CLAMP 5'',UNMPL/SKU/25-26/1313,Clamp,Tool,Factory Utilities
Toggle  HAND CLAMP big size,UNMPL/SKU/25-26/1472,Clamp,Tool,Factory Utilities
HOLD DOWN CE--6AS-H,UNMPL/SKU/25-26/1471,Clamp ,Tool,Factory Utilities
LAYRING CLAMP,UNM/SKU/24-25/1832,Clamp ,Tool,Factory Utilities
36'' MEDIUM DUTY E-Z HOLD SPREADER/CLAMP EXPANDABLE,UNMPL/SKU/25-26/1661,Clamp ,Tool,Factory Utilities
TISSUE PAPER SOFT PAPER 15 GSM (26*30)(65/70) APPRO,UNMPL/SKU/25-26/1753,Cleaning Aids,Housekeeping,Factory Utilities
TOILET BLOCKS VARKLIN 300 GM,UNMPL/SKU/25-26/1432,Cleaning Aids,Housekeeping,Factory Utilities
TOILET BRUSH,UNMPL/SKU/25-26/1764,Cleaning Aids,Housekeeping,Factory Utilities
TOILET CLEANER 5LTR,UNMPL/SKU/25-26/1427,Cleaning Aids,Housekeeping,Factory Utilities
URINAL SCREEN MAT,UNMPL/SKU/25-26/1913,Cleaning Aids,Housekeeping,Factory Utilities
WHITE FLOOR CLEANER 5LTR,UNMPL/SKU/25-26/1424,Cleaning Aids,Housekeeping,Factory Utilities
DABUR ODONIL ZIPPER,UNMPL/SKU/25-26/1426,Cleaning Aids,Housekeeping,Factory Utilities
DISH WASH LIQUD,UNMPL/SKU/25-26/1423,Cleaning Aids,Housekeeping,Factory Utilities
ODONIL ROOM SPRAY 240GM,UNMPL/SKU/25-26/1434,Cleaning Aids,Housekeeping,Factory Utilities
POLYBAG 36X48 BIG FOR DUSTBIN,UNMPL/SKU/25-26/1422,Cleaning Aids,Housekeeping,Factory Utilities
WET MOP,UNMPL/SKU/25-26/1437,Cleaning Aids,Housekeeping,Factory Utilities
DUSTPAN SUPARI,UNMPL/SKU/25-26/2086,Cleaning Aids,Housekeeping,Factory Utilities
Spring Tie Clincing clip MS (PCS),,Clip,Hardware,Product Utilities
PVC WIRE CLIP 25 MM,UNMPL/SKU/25-26/1585,Clip,Electrical,Factory Utilities
D CLIP 3 INCH 3 HOL,UNMPL/SKU/25-26/394,Clip,Hardware,Product Utilities
PVC CLIP 20MM (PKT),UNMPL/SKU/25-26/1886,Clip,Electrical,Factory Utilities
"L-Clip Black 1x1""""",UNM/SKU/23-24/317,Clip,Hardware,Product Utilities
SIFM-VL-F3 (LOW PROFILE FEMALE CILP),UNMPL/SKU/25-26/446,Clip,Hardware,Product Utilities
SIFM-VL-M3 VERY LOW PROFILE MALE CLIP,UNMPL/SKU/25-26/447,Clip,Hardware,Product Utilities
ANGLE L BRACKET 20MM*20MM CLIP,UNMPL/SKU/25-26/1081,Clip ,Hardware,Product Utilities
M66 /CL72 - CLINCHING CLIPPER MACHINE,UNMPL/SKU/25-26/1345,Clipper Machine,Asset,Factory Utilities
Safety clutch push button /b131256300a,UNM/SKU/24-25/1967,Clutch ,Electrical,Factory Utilities
SAFTY CLUTH KNOB SLEEVE / B1313055000,UNM/SKU/24-25/1973,Clutch ,Electrical,Factory Utilities
SKY AIR PU (PVC) COIL 8*12MM,UNM/SKU/24-25/590,Coil ,Spares,Factory Utilities
SKY AIR PU COIL 8MM,UNMPL/SKU/25-26/1553,Coil ,Spares,Factory Utilities
Metal Frame LOGAN BENCH,UNMPL/SKU/25-26/925,Component,Component,Product Utilities
External Metal Frame clapper chair back frame 14 gauge,UNM/SKU/24-25/1699,Component,Component,Product Utilities
External Metal Frame Clapper chair seat frame 14 GAUGE,UNM/SKU/24-25/1716,Component,Component,Product Utilities
External Metal Frame CLAPPER COUNTER/BAR J PIPE 14 GAUGE,UNM/SKU/24-25/1718,Component,Component,Product Utilities
INTEL PROCESSOR CORE I5 8TH GENRATION,UNMPL/SKU/25-26/549,Computer Component,Asset,IT Utilities
LED MONITOR MSI PRO MP223 E2,UNMPL/SKU/25-26/490,Computer Component,Electrical,Factory Utilities
OPTICAL MOUSE DELL,UNM/SKU/24-25/440,Computer Component,Asset,IT Utilities
COOLING FAN / HEATSINK,UNMPL/SKU/25-26/550,Computer Component ,IT,IT Utilities
DDR3 8GB RAM,UNM/SKU/24-25/1654,Computer Component ,Asset,IT Utilities
DDR4 8GB,UNM/SKU/24-25/429,Computer Component ,Asset,IT Utilities
DESKTOP PC DELL OPTIPLEX 3070 (9GM),UNMPL/SKU/25-26/548,Computer Component ,Asset,IT Utilities
COPPER TERMINAL 25MM,UNMPL/SKU/25-26/1541,Computer Component ,Spares,Factory Utilities
POWER CABLE,UNM/SKU/24-25/1705,Computer Parts,Electrical,Factory Utilities
L BOW 12MM,UNMPL/SKU/25-26/2196,Connector,Consumables,Factory Utilities
PU CONECTOR 8MM,UNM/SKU/24-25/1877,Connector,Consumables,Factory Utilities
PU TEE 8MM,UNMPL/SKU/25-26/1502,Connector,Consumables,Factory Utilities
12X12X8MM T JOINT,UNMPL/SKU/25-26/343,Connector,Consumables,Factory Utilities
GUN HUG 8MM SP-20,UNMPL/SKU/25-26/1563,Connector,Consumables,Factory Utilities
WATER PIPE JOINT (PLASTIC),UNMPL/SKU/25-26/48,Connector,Consumables,Factory Utilities
8MM PVC T FOR AIR COMPRESSOR,UNMPL/SKU/25-26/340,Connector,Consumables,Factory Utilities
GUN HUG 12MM ( GUN ITEM) SP-40,UNMPL/SKU/25-26/1859,Connector,Consumables,Factory Utilities
HUG ADAPTOR 1/4 PM 20,UNMPL/SKU/25-26/583,Connector,Consumables,Factory Utilities
PVC TEE 20MM,UNMPL/SKU/25-26/1885,Connector,Consumables,Factory Utilities
PVC TEE 25MM,UNMPL/SKU/25-26/442,Connector,Consumables,Factory Utilities
SIBAS CONTRACTOR SE 1D 1810,UNMPL/SKU/25-26/1825,Connector,Consumables,Factory Utilities
T.C. CONTACTOR D RANGE 9A NO,UNMPL/SKU/25-26/1148,Connector,Consumables,Factory Utilities
"U Corner BIG SIZE - 20.75""""X5""""X6.5"""" + 40MM FOAM - WITH ANGLE BOARD",UNMPL/SKU/25-26/1033,Connector,Consumables,Product Utilities
EQUAL STRAIGHT UNION 1620X1620,UNMPL/SKU/25-26/1702,Connector,Consumables,Factory Utilities
BRASS CONNECTOR 8*12*1/2,UNM/SKU/24-25/592,Connector,Consumables,Factory Utilities
PU EQUAL TEE 12X12MM,UNMPL/SKU/25-26/1551,Connector,Consumables,Factory Utilities
PU EQUAL TEE 8X8MM,UNMPL/SKU/25-26/1552,Connector,Consumables,Factory Utilities
PU STR. UNION 8MM,UNMPL/SKU/25-26/1947,Connector,Consumables,Factory Utilities
UNEQUAL TEE  2532 X 1620 X 1620,UNMPL/SKU/25-26/1681,Connector,Consumables,Factory Utilities
WALL PLATED ELBO 1620X1/2'',UNM/SKU/24-25/961,Connector,Consumables,Factory Utilities
PUSH CONNECTOR 12X12MM,UNMPL/SKU/25-26/1550,Connector,Consumables,Factory Utilities
PUSH CONNECTOR 8MM X 8MM,UNMPL/SKU/25-26/1549,Connector,Consumables,Factory Utilities
PU CONCTER 6MM,UNM/SKU/24-25/1692,Connector,Consumables,Factory Utilities
CONNECTOR QRC APAPTOR,UNM/SKU/24-25/595,Connector,Consumables,Factory Utilities
Pvc connector strip 10A,UNMPL/SKU/26-27/229,Connector,Consumables,Factory Utilities
AIR COMPRESSOR JOINT 12X8MM,UNM/SKU/24-25/1760,Connector,Spares,Factory Utilities
AIR COMPRESSOR JOINT 8MM,UNM/SKU/24-25/1761,Connector,Spares,Factory Utilities
PNUMATIC CONNETOR PLASTIC 8MM (T),UNM/SKU/24-25/607,Connector,Spares,Factory Utilities
STAPLE GUN ADEPTER PF-20,UNM/SKU/24-25/1849,Connector,Spares,Factory Utilities
BRASS GUN ITEM 1/4X12MM,UNM/SKU/24-25/748,Connector,Spares,Factory Utilities
1/4*1/4 INNER CHUDI SOCKET (GUN ITEM),UNM/SKU/24-25/749,Connector,Spares,Factory Utilities
12X8X8 PVC T JOINT,UNMPL/SKU/25-26/344,Connector ,Consumables,Factory Utilities
8 MM PVC JOINT,UNMPL/SKU/25-26/342,Connector ,Consumables,Factory Utilities
PVC PIPE JOINTER,UNMPL/SKU/25-26/269,Connector ,Consumables,Factory Utilities
PVC CONNECTOR 6A,UNM/SKU/24-25/1256,Connector ,Consumables,Factory Utilities
CONECTOR STRIP,UNMPL/SKU/25-26/1892,Connector ,Consumables,Factory Utilities
PVC BAND 25MM (W),UNMPL/SKU/25-26/443,Connector ,Consumables,Factory Utilities
CONTROL PANEL WITH WIRING,UNMPL/SKU/25-26/1487,Control Panel ,Asset,Factory Utilities
WATER COOLER PUMP SMAL;,,Cooler,Asset,Factory Utilities
"20MM SOFA Corner 4X4 - 5""""L - 60MM GAPE + ANGLE BOARD",UNMPL/SKU/25-26/1215,Corner,Packaging,Product Utilities
"20MM SOFA Corner 6X5 10L - 4"""" GAPE + ANGLE BOARD",UNMPL/SKU/25-26/1216,Corner,Packaging,Product Utilities
"20MM U CLIP 5X5 - 3"""" GAPE 10""""L+ANGLE BOARD",UNMPL/SKU/25-26/1214,Corner,Packaging,Product Utilities
25 mm foam Corner with angle 5x5x5,UNM/SKU/23-24/1065,Corner,Packaging,Product Utilities
25mm foam L Corner,UNM/SKU/23-24/299,Corner,Packaging,Product Utilities
"25MM FOAM U CLIP 5''GAPE 10""""L 5""""X5""""5",UNMPL/SKU/25-26/422,Corner,Packaging,Product Utilities
"40MM U CLIP 5X5X -2"""" GAPE 10""""L+ANGLE BOARD",UNMPL/SKU/25-26/1217,Corner,Packaging,Product Utilities
50MM L Corner 5X5,UNMPL/SKU/25-26/1169,Corner,Packaging,Product Utilities
50MM/25MM Corner 5X5 + ANGLE BOARD,UNMPL/SKU/25-26/1168,Corner,Packaging,Product Utilities
"ADHESIVE BATTA 7""""X3.5""""X5""""",UNMPL/SKU/25-26/1269,Corner,Packaging,Product Utilities
"ADHESIVE EPE FOAM 8.5""""X4""""X20MM",UNMPL/SKU/25-26/1268,Corner,Packaging,Product Utilities
Corner 5''x5''x5x20mm with angle board,UNM/SKU/23-24/758,Corner,Packaging,Product Utilities
"DTC Corner 5""""GAPE 5""""X5""""X5"""" WITH ANGLE 25MM FOAM",UNMPL/SKU/25-26/420,Corner,Packaging,Product Utilities
"Packing (Imogene Chair) Foam 25mm L-Corner 5""""X5""""X10""""",UM-000638,Corner,Packaging,Product Utilities
"Packing (Imogene Chair) Foam Pipe Corner 25/45 Pipe=6"""" Cut  25mm 70x70=1Pc",,Corner,Packaging,Product Utilities
Packing Corner 20MM 80x17 with 8 inch AB,UM-000347,Corner,Packaging,Product Utilities
"Packing EPE C-Section Length=8""""  Size: 55x25mm   ( Inner gap-25mm ) ( P-3 ROD)",,Corner,Packaging,Product Utilities
"Packing L Corner 10 """"X 5"""" X5"""" 20mm with Angle Board",UM-000299,Corner,Packaging,Product Utilities
"Packing NS Muirified Chair Front Side Corner (Left+Right)  (5""""x5"""")",,Corner,Packaging,Product Utilities
110 MM U CLIP 10'' WITH ANGLE,UNMPL/SKU/25-26/1127,Corner,Packaging,Product Utilities
"35/55 PIPE = 45MM LENGTH 20MM FOAM 2""""X2""""",UNMPL/SKU/25-26/423,Corner,Packaging,Product Utilities
40MM+25MM L Corner 10X4X4 WITH ANGLE,UNMPL/SKU/25-26/295,Corner,Packaging,Product Utilities
"ADHESIVE EPE FOAM 4""""X4""""X75MM",UNMPL/SKU/25-26/296,Corner,Packaging,Product Utilities
"Corner 5''x5''x3"""" 20mm with one side angle board",UNMPL/SKU/25-26/1465,Corner,Packaging,Product Utilities
"Packing (Imogene Chair) Foam Corner 65mm 4""""x4""""=1Pc  65mm 170x4""""=1Pc   50mm 170x4""""=1Pc  25mm 8""""x170=1Pc",,Corner,Packaging,Product Utilities
"Packing Center SUPPORT IRON Leg Box Cap Outer Size : 4.50""""x5.50""""x5""""  Internal Gap : 2.50""""x3.50""""x4"""" (P-3)",,Corner,Packaging,Product Utilities
"Packing Center SUPPORT Leg Box Cap Outer Size : 3.50""""x3.50""""x5""""  Internal Gap : 1.50""""x1.50""""x4""""",,Corner,Packaging,Product Utilities
"Packing Corner Dahlia Bed Size : 9""""x7X""""5""""  Left+Right ( p-1 &2)",,Corner,Packaging,Product Utilities
PACKING Corner DAHLIYA 7X8X5 40MM BOTTOM 50MM,UNMPL/SKU/25-26/1405,Corner,Packaging,Product Utilities
Packing EPE Adhesive Block Size: 100x100x100mm (P-3 FOR BOX),UM-000773,Corner,Packaging,Product Utilities
"Packing EPE Block Dahlia King Bed P3 5.50""""""""x4""""x3.50"""" (P-3 FOR SLATS PACKING)",,Corner,Packaging,Product Utilities
"Packing EPE-Block Size : 22""""X4""""X80MM ADHESIVE ( P-3 SIDE RAILS)",UM-000772,Corner,Packaging,Product Utilities
"Packing Leg Box Cap Size : 4""""x5""""x5"""" (HB/FB)",UM-000769,Corner,Packaging,Product Utilities
"Packing Packing EPE-Block Size : 9""""x2.50"""" (65mm)",UNMPL/SKU/25-26/1071,Corner,Packaging,Product Utilities
"Packing Side U-Corner Dahlia Bed Size : 7""""x7""""x5"""" (P-1 &2 SIDE)",UM-000767,Corner,Packaging,Product Utilities
"Packing U-Corner Dahlia Bed Size : 8""""x7""""x5"""" (P-1&2 TOP)",UM-000766,Corner,Packaging,Product Utilities
Pipe Corner clapper chair,UNM/SKU/24-25/1648,Corner,Packaging,Product Utilities
"10""""L WITH 40MM 4""""X4"""" INNER Spack",UNM/SKU/24-25/101,Corner,Packaging,Product Utilities
15MM FOAM 12.5X10.75X3 INCH,UNMPL/SKU/25-26/1124,Corner,Packaging,Product Utilities
"40MM FOAM Corner BIG SIZE - 20.75""""X7""""X7""""+ TWO SIDE - WITH ANGLE BOARD",UNMPL/SKU/25-26/1034,Corner,Packaging,Product Utilities
40MM SOFA Corner,UNMPL/SKU/25-26/1125,Corner,Packaging,Product Utilities
40MM U CLIP Corner,UNMPL/SKU/25-26/1126,Corner,Packaging,Product Utilities
50mm + 25mm foam L Corner wth Angle Board,UNM/SKU/23-24/301,Corner,Packaging,Product Utilities
50mm foam+25mm foam Corner with angle board,UNM/SKU/23-24/296,Corner,Packaging,Product Utilities
65mm foam + 25mm foam Corner with angle board,UNM/SKU/23-24/297,Corner,Packaging,Product Utilities
"batta EPE 4""""X3""""",,Corner,Packaging,Product Utilities
"DTC Corner 5""""X5""""X5"""" WITH ANGLE 25MM FOAM",,corner,Packaging,Product Utilities
"l Corner 10""""x4""""x40mm",,corner,Packaging,Product Utilities
Packing (Maraba Bed P-1) Foam 40mm Box Corner 55x55 Gap 100x100=4Pc  140x140=1Pc,,corner,Packaging,Product Utilities
Packing Athena Dining Chair 125x125x105x200 (20mm) + 105x105 (115mm) (Left + Right),UM-000714,corner,Packaging,Product Utilities
Packing NS Muirified Chair Back Side Corner (Left+Right) (200x180-65mm)  (180x100-65mm)  (135x100-25mm),,corner,Packaging,Product Utilities
Packing NS Muirified Chair L-Corner (140x140-65mm)   (140x100-25mm),,corner,Packaging,Product Utilities
5mm(75x75) angle board 2000mm,UNMPL/SKU/25-26/1301,Corner,Packaging,Product Utilities
Packing EPS CUT SHEET D-16 39.5X23X12.5MM,UNMPL/SKU/25-26/611,Corner,Packaging,Product Utilities
Packing EPS CUT SHEET D-16 39X23X12.5MM,UNMPL/SKU/25-26/605,Corner,Packaging,Product Utilities
Packing EPS CUT SHEET D-16 41X23X12.5MM,UNMPL/SKU/25-26/604,Corner,Packaging,Product Utilities
Packing EPS HAND MOULDING D-16 28X22.25X5,UNMPL/SKU/25-26/606,Corner,Packaging,Product Utilities
Packing EPS HAND MOULDING D-16 28X22.25X5+5,UNMPL/SKU/25-26/599,Corner,Packaging,Product Utilities
Packing EPS HAND MOULDING D-16 50.5X34.5X2.75+1.5,UNMPL/SKU/25-26/603,Corner,Packaging,Product Utilities
Packing EPS HAND MOULDING D-16 50.75X35X2.75 LEATHER FRAME,UNMPL/SKU/25-26/610,Corner,Packaging,Product Utilities
Packing EPS HAND MOULDING D-16 51.5X33X2.75+1.5 (WOODEN FRAME),UNMPL/SKU/25-26/608,Corner,Packaging,Product Utilities
Packing EPS HAND MOULDING D-16 51X32.75X3+1.5,UNMPL/SKU/25-26/602,Corner,Packaging,Product Utilities
Packing EPS HAND MOULDING D-16 67.5X23X5,UNMPL/SKU/25-26/607,Corner,Packaging,Product Utilities
Packing EPS HAND MOULDING D-16 67.5X23X5+5,UNMPL/SKU/25-26/601,Corner,Packaging,Product Utilities
"Packing Thermacol Block - Dahlia King Footboard Bed-D20- 75""""x8""""x2.50""""",UM-000801,corner,Packaging,Product Utilities
"Packing EPE-Block Size : 22""""X4""""X80MM Adhesive ( P-3 SIDE RAILS) FOR DHALIA QUEEN BED USE",UNM/SKU/24-25/1487,corner,Packaging,Product Utilities
"50MM L CORNER WITH ANGLE BOARD - 10""""X5""""X4""""",UNMPL/SKU/25-26/2066,corner,Packaging,Product Utilities
Packing 65MM - 4*4-50MM 4*7*2PC-25MMM 9*7-20MM 4*4 LEFT+RIGHT,UNMPL/SKU/25-26/2149,corner,Packaging,Product Utilities
Packing 40MM X 10*4 L CORNER 25MM X10*6,UNMPL/SKU/25-26/2150,corner,Packaging,Product Utilities
Packing 50MM 3.5*7 - 3.5*3 Adhesive LEFT + RIGHT,UNMPL/SKU/25-26/2151,corner,Packaging,Product Utilities
Corrugated Box LAILA 6 DRAWER 65X21X32,UNMPL/SKU/25-26/521,Corrogated Box,Packaging,Product Utilities
"Corrugated Box LAILA BED P1 - 77""""X7""""X56""""",UNMPL/SKU/25-26/632,Corrogated Box,Packaging,Product Utilities
Corrugated Box LAILA BED P1 82X8X53,UNMPL/SKU/25-26/724,Corrogated Box,Packaging,Product Utilities
"Corrugated Box LAILA BED P2 - 78""""X6.5""""X31.5""""",UNMPL/SKU/25-26/633,Corrogated Box,Packaging,Product Utilities
Corrugated Box LAILA BED P2 82X8X32,UNMPL/SKU/25-26/725,Corrogated Box,Packaging,Product Utilities
"Corrugated Box LAILA BED P3 - 84.5""""X15.5""""X18.5""""",UNMPL/SKU/25-26/634,Corrogated Box,Packaging,Product Utilities
"Corrugated Box LAILA BENCH 64.5""""X21.25""""X21"""" - 5 PLY",UNM/SKU/24-25/1660,Corrogated Box,Packaging,Product Utilities
Corrugated Box LAILA BN0523-02B 64X21X22.5,UNMPL/SKU/25-26/731,Corrogated Box,Packaging,Product Utilities
Corrugated Box LAILA MIRROR 50X5X34,,Corrogated Box,Packaging,Product Utilities
"Corrugated Box LAILA MIRROR 53.5""""X7""""X37.5"""" - 5PLY",UNMPL/SKU/25-26/520,Corrogated Box,Packaging,Product Utilities
Corrugated Box LAILA P3 OUTER BOX 84.5X15X18 5 PLY,UNMPL/SKU/25-26/761,Corrogated Box,Packaging,Product Utilities
"Corrugated Box LAILA SIDE BOARD 6 DRAWER 70""""X27""""X37.5"""" - 5 PLY",UNMPL/SKU/25-26/776,Corrogated Box,Packaging,Product Utilities
Corrugated Box LAILA SIDE TABLE 27X21X20.5,UNMPL/SKU/25-26/522,Corrogated Box,Packaging,Product Utilities
Corrugated Box L SHAPE BOX 37X26X22 INCH 5PLY 275 LBS,UNMPL/SKU/25-26/902,Corrogated Box,Packaging,Product Utilities
Corrugated Box LAILA 6 DRAWER 70.75X26.5X38 5PLY,UNMPL/SKU/25-26/990,Corrogated Box,Packaging,Product Utilities
Corrugated Box LAILA BED P1 67X7X57,UNM/SKU/24-25/1089,Corrogated Box,Packaging,Product Utilities
Corrugated Box LAILA BED P1 76.5X6.X55.5 (C&M) 5PLY,,Corrogated Box,Packaging,Product Utilities
Corrugated Box LAILA BED P2 67X7X32,UNM/SKU/24-25/1090,Corrogated Box,Packaging,Product Utilities
Corrugated Box LAILA BED P2 77.75X6.5X31 (C&M)- 5PLY,UNMPL/SKU/25-26/982,Corrogated Box,Packaging,Product Utilities
Corrugated Box LAILA BED P3 84.5X15X18 (C&M) 5PLY,,Corrogated Box,Packaging,Product Utilities
Corrugated Box LAILA BED P3 89X16X17.5 - 5 ply,UNM/SKU/24-25/1091,Corrogated Box,Packaging,Product Utilities
PACKING LEG BOX 4X5X5 40MM 3 SIDE AND BOTTOM 2MM GATTA,UNMPL/SKU/25-26/1404,Corrogated Sheet ,Packaging,Product Utilities
Corrugated paper roll 48 inch (roll),,Corrugate paper roll,Packaging,Product Utilities
Corrugated Box 24.75X23.25X40.75 5 PLY,UNMPL/SKU/25-26/1863,Corrugated Box,Packaging,Product Utilities
"Corrugated Box 249321 NS MUIRFIELD CHAIR (Outer) 37.5"""" x 32.5"""" x 29.50"""" RSC",UM-000754,Corrugated Box,Packaging,Product Utilities
